OBJECTID,Join_Count,TARGET_FID,name,area_km2,Assessed_Value_Sum,Avg_Assessed_Value,Ward,c2016_Less_than_30K,c2016_30K_to_60K,c2016_60K_to_100K,c2016_100K_to_125K,c2016_125K_to_150K,c2016_150K_to_200K,c2016_200K_to_250K,c2016_250K_or_more,c2016_No_Response,Pct_less_than_30k,Pct_less_than_60k,Pct_less_than_100k,Pct_less_than_150k,Pct_less_than_200k,Pct_less_than_250k,TotalPct_Unresponsive,TotalPct_Responsive,Sum_Responsive,Pct_less_than_125K,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,LI_greater_than_MC,Shape_Length,Shape_Area,Pct_30K_to_60K,Pct_60K_to_100K,Pct_100K_to_125K,Pct_125K_150K,Pct_150K_to_200K,Pct_200K_to_250K,Pct_250K_or_more,POINT_X,POINT_Y,LI_greater,LI_pct_ind
55,499,55,Sherwood,0.44069687,134968000,270476.9539,WARD 1,42,96,90,41,32,22,3,1,310,0.1284404,0.4220183,0.6972477,0.9204893,0.9877676,0.9969419,0.4866562,0.5133438,327,0.82263,0.4220183,0.498471,0.0795107,0,0.034423705,5.97E-05,0.293578,0.2752294,0.1253823,0.0978593,0.0672783,0.0091743,0.0030581,-113.584151,53.52910762,FALSE,2
56,1016,56,Greenview,0.986138127,350258500,344742.6181,WARD 11,74,147,159,89,43,50,20,16,357,0.1237458,0.3695652,0.6354515,0.8561873,0.9397993,0.9732441,0.373822,0.626178,598,0.784281,0.3695652,0.4866221,0.1438127,0,0.066383841,0.00013347,0.2458194,0.2658863,0.1488294,0.0719064,0.083612,0.0334448,0.0267559,-113.4260769,53.47547512,FALSE,1
57,1437,57,Greenfield,1.529887226,563621000,392220.5985,WARD 10,57,146,214,125,80,78,44,29,628,0.0737387,0.2626132,0.5394567,0.8046572,0.9055628,0.9624838,0.4482512,0.5517488,773,0.7011643,0.2626132,0.542044,0.1953428,0,0.063631998,0.000207046,0.1888745,0.2768435,0.1617076,0.1034929,0.1009056,0.0569211,0.0375162,-113.5272449,53.47140954,FALSE,1
58,950,58,Sherbrooke,0.926198949,270000500,284211.0526,WARD 2,61,106,116,52,28,23,6,4,670,0.1540404,0.4217172,0.7146465,0.9166667,0.9747475,0.989899,0.6285178,0.3714822,396,0.8459596,0.4217172,0.4949495,0.0833333,0,0.047387309,0.000125654,0.2676768,0.2929293,0.1313131,0.0707071,0.0580808,0.0151515,0.010101,-113.5474627,53.57622057,FALSE,2
59,795,59,Dovercourt,1.001265081,259260000,326113.2075,WARD 2,61,160,159,87,45,48,15,6,285,0.1049914,0.3803787,0.6540447,0.8812392,0.9638554,0.989673,0.3290993,0.6709007,581,0.8037866,0.3803787,0.5008606,0.1187608,0,0.049377795,0.000135835,0.2753873,0.2736661,0.1497418,0.0774527,0.0826162,0.0258176,0.010327,-113.5592012,53.57511954,FALSE,1
60,1748,60,Pleasantview,1.48039114,551409500,315451.659,WARD 10,348,332,261,83,46,45,21,21,821,0.3007779,0.5877269,0.8133103,0.9248055,0.9636992,0.9818496,0.4150657,0.5849343,1157,0.8850476,0.5877269,0.3370787,0.0751945,1,0.06203032,0.000200448,0.286949,0.2255834,0.0717373,0.039758,0.0388937,0.0181504,0.0181504,-113.5066133,53.49302206,TRUE,2
61,671,61,Lendrum Place,0.859009434,273510000,407615.4993,WARD 10,19,34,63,45,33,38,15,15,557,0.0725191,0.2022901,0.4427481,0.740458,0.8854962,0.9427481,0.6800977,0.3199023,262,0.6145038,0.2022901,0.538168,0.259542,0,0.043812463,0.000116312,0.129771,0.240458,0.1717557,0.1259542,0.1450382,0.0572519,0.0572519,-113.5226884,53.49306525,FALSE,1
62,1118,62,Meyonohk,0.873954039,296321500,265046.0644,WARD 11,47,138,156,62,23,28,8,0,650,0.1017316,0.4004329,0.7380952,0.9220779,0.982684,1,0.5845324,0.4154676,462,0.8722944,0.4004329,0.521645,0.0779221,0,0.048864258,0.000118231,0.2987013,0.3376623,0.1341991,0.0497836,0.0606061,0.017316,0,-113.4576966,53.45550891,FALSE,2
63,952,63,Kameyosek,0.72159953,225727000,237108.1933,WARD 11,237,233,123,39,16,17,3,3,435,0.3532042,0.7004471,0.8837556,0.9657228,0.9910581,0.9955291,0.3933092,0.6066908,671,0.9418778,0.7004471,0.2652757,0.0342772,1,0.04290299,9.76E-05,0.3472429,0.1833085,0.0581222,0.023845,0.0253353,0.0044709,0.0044709,-113.4419311,53.46182135,TRUE,3
64,830,64,Tipaskan,0.80429214,210648000,253792.7711,WARD 11,163,204,184,54,43,18,9,9,324,0.2383041,0.5365497,0.8055556,0.9473684,0.9736842,0.9868421,0.3214286,0.6785714,684,0.8845029,0.5365497,0.4108187,0.0526316,1,0.047889094,0.000108823,0.2982456,0.2690058,0.0789474,0.0628655,0.0263158,0.0131579,0.0131579,-113.4579015,53.46186194,TRUE,2
