idx,name,census_type,census_type_value,pct_category,pct,LI_greater_than_MC,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,POINT_X,POINT_Y,Assessed_Value_Sum,Avg_Assessed_Value
137,High Park,c2016_30K_to_60K,61,Pct_30K_to_60K,0.286385,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
138,High Park,c2016_60K_to_100K,50,Pct_60K_to_100K,0.2347418,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
139,High Park,c2016_100K_to_125K,34,Pct_100K_to_125K,0.1596244,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
140,High Park,c2016_125K_to_150K,13,Pct_125K_150K,0.0610329,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
141,High Park,c2016_150K_to_200K,7,Pct_150K_to_200K,0.0328638,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
142,High Park,c2016_200K_to_250K,3,Pct_200K_to_250K,0.0140845,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
143,High Park,c2016_250K_or_more,3,Pct_250K_or_more,0.0140845,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
144,McQueen,c2016_Less_than_30K,85,Pct_less_than_30k,0.2354571,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
145,McQueen,c2016_30K_to_60K,87,Pct_30K_to_60K,0.2409972,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
146,McQueen,c2016_60K_to_100K,83,Pct_60K_to_100K,0.2299169,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
147,McQueen,c2016_100K_to_125K,42,Pct_100K_to_125K,0.1163435,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
148,McQueen,c2016_125K_to_150K,22,Pct_125K_150K,0.0609418,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
149,McQueen,c2016_150K_to_200K,26,Pct_150K_to_200K,0.0720222,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
150,McQueen,c2016_200K_to_250K,12,Pct_200K_to_250K,0.033241,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
151,McQueen,c2016_250K_or_more,4,Pct_250K_or_more,0.0110803,1,0.4764543,0.4072022,0.1163435,-113.5718432,53.55495089,165937500,337958.2485
152,Highlands,c2016_Less_than_30K,72,Pct_less_than_30k,0.1025641,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
153,Highlands,c2016_30K_to_60K,137,Pct_30K_to_60K,0.1951567,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
154,Highlands,c2016_60K_to_100K,170,Pct_60K_to_100K,0.2421652,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
155,Highlands,c2016_100K_to_125K,108,Pct_100K_to_125K,0.1538462,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
156,Highlands,c2016_125K_to_150K,74,Pct_125K_150K,0.1054131,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
157,Highlands,c2016_150K_to_200K,70,Pct_150K_to_200K,0.0997151,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
158,Highlands,c2016_200K_to_250K,36,Pct_200K_to_250K,0.0512821,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
159,Highlands,c2016_250K_or_more,35,Pct_250K_or_more,0.0498575,0,0.2977208,0.5014245,0.2008547,-113.4316034,53.56716747,489270000,424345.1865
160,Elmwood,c2016_Less_than_30K,112,Pct_less_than_30k,0.1507402,1,0.5006729,0.4589502,0.0403768,-113.6059678,53.5157985,262364000,329189.4605
161,Elmwood,c2016_30K_to_60K,260,Pct_30K_to_60K,0.3499327,1,0.5006729,0.4589502,0.0403768,-113.6059678,53.5157985,262364000,329189.4605
162,Elmwood,c2016_60K_to_100K,228,Pct_60K_to_100K,0.3068641,1,0.5006729,0.4589502,0.0403768,-113.6059678,53.5157985,262364000,329189.4605
163,Elmwood,c2016_100K_to_125K,80,Pct_100K_to_125K,0.1076716,1,0.5006729,0.4589502,0.0403768,-113.6059678,53.5157985,262364000,329189.4605
